COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,PRINCID,BSCWT,FSCWT,FSTWT,N_Principal_Part,N_Teachers_Part,N_Students_Part,SC01Q01A,SC01Q02A,SC01Q03A,SC01Q04A,SC01Q01B,SC01Q02B,SC01Q03B,SC01Q04B,SC02Q01,SC03Q01,SC04Q01,SC05Q01A,SC05Q02A,SC05Q03A,SC05Q04A,SC05Q01B,SC05Q02B,SC05Q03B,SC05Q04B,SC06Q01,SC07Q01A,SC07Q02A,SC07Q03A,SC07Q04A,SC07Q05A,SC07Q06A,SC07Q07A,SC07Q08A,SC07Q09A,SC07Q01B,SC07Q02B,SC07Q03B,SC07Q04B,SC07Q05B,SC07Q06B,SC07Q07B,SC07Q08B,SC07Q09B,SC07Q01C,SC07Q02C,SC07Q03C,SC07Q04C,SC07Q05C,SC07Q06C,SC07Q07C,SC07Q08C,SC07Q09C,SC07Q01D,SC07Q02D,SC07Q03D,SC07Q04D,SC07Q05D,SC07Q06D,SC07Q07D,SC07Q08D,SC07Q09D,SC07Q01E,SC07Q02E,SC07Q03E,SC07Q04E,SC07Q05E,SC07Q06E,SC07Q07E,SC07Q08E,SC07Q09E,SC08Q01,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC11Q01,SC12Q01,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC15Q05,SC15Q06,SC15Q07,SC15Q08,SC15Q09,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13,SC17Q14,SC17Q15,SC17Q16,SC17Q17,SC17Q18,SC17Q19,SC17Q20,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC21Q05,SC21Q06,SC21Q07,SC21Q08,SC21Q09,SC21Q10,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC23Q01A,SC23Q01B,SC23Q01C,SC23Q01D,SC23Q01E,SC23Q02A,SC23Q02B,SC23Q02C,SC23Q02D,SC23Q02E,SC23Q03A,SC23Q03B,SC23Q03C,SC23Q03D,SC23Q03E,SC23Q04A,SC23Q04B,SC23Q04C,SC23Q04D,SC23Q04E,SC23Q05A,SC23Q05B,SC23Q05C,SC23Q05D,SC23Q05E,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC26Q01,SC15_Profdev,SC17_equip,SC17_PED,SC17_Goal,SC21_attitude,DIGEQUIPSC_Cluster,DIGSUPSC_Cluster
Bulgaria,14,1,ISCED3B,2,14402078,14402078,2.9940,3.0890,277.7542,1,2,25,M,M,M,120,M,M,M,180,3,1,25,M,M,M,28,M,M,M,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,20,0,5,0,31,1,1,5,M,M,M,M,M,M,M,M,M,4,11,1,1,0,0,0,1,0,0,3,4,M,1,M,M,1,1,1,M,M,1,1,M,M,M,M,4,4,M,3,4,3,3,4,3,1,1,1,1,2,M,2,2,2,2,2,2,3,1,2,2,3,3,4,2,4,4,4,M,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,M,M,4,4,M,3,4,4,4,4,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,2,2,1,1,1,1,2,1,1,3,3,5,5,3.29,2.87,2.86,1.11,3.72,2,4
Bulgaria,14,1,ISCED3B,2,14402081,14402081,2.8624,2.9533,277.7548,1,2,1,M,M,M,102,M,M,M,198,4,4,34,M,M,M,34,M,M,M,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,20,3,0,0,42,0,1,5,M,M,M,M,M,M,M,M,M,3,14,2,0,4,0,0,0,0,0,5,1,1,M,M,M,1,1,1,2,N,2,N,N,N,N,2,4,2,1,1,4,3,2,3,3,2,N,N,N,2,4,4,1,1,1,4,2,4,4,4,4,4,4,2,2,4,4,4,4,2,2,1,1,1,1,1,2,1,2,1,2,2,2,2,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,2,3,3,4,3,2.56,2.83,1.29,1.00,4.00,2,4
Bulgaria,14,1,ISCED3B,2,14402309,14402309,7.4422,7.6785,277.7542,1,3,16,0,0,48,48,0,0,2,2,4,3,6,0,0,6,6,1,1,2,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,12,8,0,2,0,6,0,1,2,M,M,M,M,M,M,M,M,M,3,20,0,0,0,0,0,0,0,0,3,2,1,2,2,2,2,1,2,2,N,2,N,N,N,N,2,3,1,1,2,3,1,3,1,1,1,1,2,1,2,2,3,3,2,1,3,3,4,3,3,3,3,3,4,2,3,4,4,2,1,2,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,1,3,3,2,3,3,3,4,4,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,3,5,4,1.78,2.83,1.86,1.75,2.38,2,3
Bulgaria,14,1,ISCED3B,2,14402311,14402311,7.0399,7.2634,277.7548,1,2,1,0,0,0,31,0,0,0,41,4,2,6,0,0,0,6,1,1,1,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,10,0,2,0,2,0,1,1,M,M,M,M,M,M,M,M,M,3,10,0,0,0,0,0,0,0,0,5,2,1,1,2,2,1,1,2,1,1,2,N,N,N,N,2,3,3,2,1,3,1,1,2,2,2,N,N,N,1,1,2,1,1,1,2,2,4,4,4,2,2,3,4,2,4,4,4,4,2,2,M,1,1,1,1,2,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,2,1,2,2,1,1,3,3,M,4,2.00,3.83,2.14,1.00,4.00,3,3
Bulgaria,14,1,ISCED3B,2,14402314,14402314,6.5119,6.7187,233.8994,1,3,16,0,0,0,74,0,0,0,58,4,1,10,0,0,0,10,1,1,1,2,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,6,12,1,1,0,6,0,0,1,M,M,M,M,M,M,M,M,M,3,15,0,0,0,0,0,0,0,0,2,2,1,1,2,2,1,1,2,2,N,2,N,N,N,N,2,4,3,2,3,4,2,3,4,1,1,1,2,2,1,1,2,2,1,1,3,1,2,3,2,3,2,3,2,1,4,4,4,4,2,2,1,1,1,1,1,1,1,2,2,2,2,2,1,1,2,4,3,4,3,4,4,3,3,4,3,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,1,4,3,2.89,3.67,2.71,1.00,3.50,3,4
Bulgaria,14,1,ISCED3B,2,14402319,14402319,6.0576,6.2499,277.7555,1,3,17,0,0,0,32,0,0,0,102,3,1,11,0,0,8,4,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,27,0,3,0,0,0,0,0,0,27,0,3,0,0,0,2,3,0,27,0,3,0,0,0,2,3,4,20,0,1,0,0,0,0,0,0,5,2,2,1,2,2,1,1,1,2,N,2,N,N,N,N,2,3,2,2,M,4,2,1,4,2,2,N,N,N,4,4,4,1,4,2,4,4,4,4,4,4,2,4,4,4,4,4,4,4,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,1,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,5,3,2.43,1.83,1.29,1.00,4.00,2,4
Bulgaria,14,1,ISCED3B,2,14402323,14402323,5.5421,5.7180,156.2368,1,3,9,M,M,M,40,M,M,M,90,3,2,6,M,M,M,6,1,1,1,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,21,1,4,0,4,0,3,4,M,M,M,M,M,M,M,M,M,2,16,2,0,1,0,0,0,0,0,3,4,1,1,2,2,1,1,2,1,1,1,2,2,2,2,2,3,2,3,1,2,1,1,3,3,2,N,N,N,3,3,3,2,2,2,4,3,3,1,4,3,2,2,3,M,4,4,4,4,1,1,2,M,2,2,1,1,2,2,2,2,2,2,2,2,2,3,3,3,4,M,3,4,4,4,3,1,1,1,1,1,1,2,1,2,2,1,2,1,2,2,1,1,2,2,2,1,2,1,2,2,2,1,1,2,2,2,1,2,2,5,5,2.11,2.50,2.14,1.00,3.46,2,1
Bulgaria,14,1,ISCED3B,2,14402326,14402326,5.2095,5.3749,277.754,1,3,18,0,0,0,339,0,0,0,62,4,1,21,0,0,0,21,1,1,1,2,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,31,0,4,0,0,1,1,2,M,M,M,M,M,M,M,M,M,4,20,2,1,0,0,1,0,0,0,3,1,1,2,2,2,1,2,2,2,N,2,N,N,N,N,2,4,4,2,4,4,3,2,4,2,2,N,N,N,4,4,4,2,2,2,4,4,4,2,4,2,2,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,3,3,3,4,3.22,2.00,1.86,1.00,4.00,3,4
Bulgaria,14,1,ISCED3B,2,14402327,14402327,5.1074,5.2695,277.7555,1,3,14,0,0,0,50,0,0,0,84,4,1,15,0,0,0,15,1,1,1,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,23,1,0,0,0,0,2,2,4,23,0,0,0,0,0,0,0,0,1,2,1,1,2,2,1,2,2,2,N,2,N,N,N,N,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,4,4,2,4,3,2,4,2,3,4,4,4,2,1,1,1,1,1,2,1,2,2,2,1,2,2,2,1,1,2,4,4,4,4,4,3,3,3,4,4,1,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,1,4,3,1.00,3.33,2.00,1.50,3.63,3,3
Bulgaria,14,1,ISCED3B,2,14402330,14402330,4.8236,4.9768,277.7547,1,3,5,0,0,0,98,0,0,0,73,3,1,10,0,0,0,10,1,1,1,2,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,14,1,0,0,5,0,1,1,M,M,M,M,M,M,M,M,M,4,9,0,1,0,0,0,0,0,0,5,1,2,1,2,2,1,1,1,1,2,1,2,2,2,2,2,M,2,M,2,3,3,2,4,4,2,N,N,N,2,2,4,1,2,2,3,4,4,3,4,3,2,3,2,2,4,4,4,3,2,1,1,1,1,2,1,1,2,2,1,1,2,1,1,1,1,4,3,3,2,2,2,3,3,3,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1,1,M,M,3,2.69,2.83,1.71,1.25,2.75,2,3
