COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,PRINCID,BSCWT,FSCWT,FSTWT,N_Principal_Part,N_Teachers_Part,N_Students_Part,SC01Q01A,SC01Q02A,SC01Q03A,SC01Q04A,SC01Q01B,SC01Q02B,SC01Q03B,SC01Q04B,SC02Q01,SC03Q01,SC04Q01,SC05Q01A,SC05Q02A,SC05Q03A,SC05Q04A,SC05Q01B,SC05Q02B,SC05Q03B,SC05Q04B,SC06Q01,SC07Q01A,SC07Q02A,SC07Q03A,SC07Q04A,SC07Q05A,SC07Q06A,SC07Q07A,SC07Q08A,SC07Q09A,SC07Q01B,SC07Q02B,SC07Q03B,SC07Q04B,SC07Q05B,SC07Q06B,SC07Q07B,SC07Q08B,SC07Q09B,SC07Q01C,SC07Q02C,SC07Q03C,SC07Q04C,SC07Q05C,SC07Q06C,SC07Q07C,SC07Q08C,SC07Q09C,SC07Q01D,SC07Q02D,SC07Q03D,SC07Q04D,SC07Q05D,SC07Q06D,SC07Q07D,SC07Q08D,SC07Q09D,SC07Q01E,SC07Q02E,SC07Q03E,SC07Q04E,SC07Q05E,SC07Q06E,SC07Q07E,SC07Q08E,SC07Q09E,SC08Q01,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC11Q01,SC12Q01,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC15Q05,SC15Q06,SC15Q07,SC15Q08,SC15Q09,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13,SC17Q14,SC17Q15,SC17Q16,SC17Q17,SC17Q18,SC17Q19,SC17Q20,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC21Q05,SC21Q06,SC21Q07,SC21Q08,SC21Q09,SC21Q10,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC23Q01A,SC23Q01B,SC23Q01C,SC23Q01D,SC23Q01E,SC23Q02A,SC23Q02B,SC23Q02C,SC23Q02D,SC23Q02E,SC23Q03A,SC23Q03B,SC23Q03C,SC23Q03D,SC23Q03E,SC23Q04A,SC23Q04B,SC23Q04C,SC23Q04D,SC23Q04E,SC23Q05A,SC23Q05B,SC23Q05C,SC23Q05D,SC23Q05E,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC26Q01,SC15_Profdev,SC17_equip,SC17_PED,SC17_Goal,SC21_attitude,DIGEQUIPSC_Cluster,DIGSUPSC_Cluster
Slovakia,43,1,ISCED2,1,43201613,43201613,4.5499,5.1434,242.2434,1,3,20,79,87,0,0,75,96,0,0,2,2,26,11,15,0,0,2,2,1,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,39,0,10,0,1,3,4,7,4,39,10,0,0,0,3,0,0,0,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,M,2,1,2,3,2,2,1,1,1,1,2,N,N,N,3,2,1,1,1,2,2,1,1,1,1,2,2,2,2,3,4,3,3,2,1,2,2,1,1,1,2,1,2,2,2,2,2,M,2,1,2,3,3,2,3,3,3,1,3,3,2,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,3,1,5,5,1.56,3.33,3.57,2.00,2.63,1,2
Slovakia,43,1,ISCED2,1,43201617,43201617,6.2896,7.1100,232.1512,1,3,23,86,120,0,0,75,88,0,0,2,1,25,9,16,0,0,2,2,1,1,2,0,15,0,10,0,0,0,1,2,0,10,0,15,0,0,2,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,25,0,0,0,10,0,0,0,15,M,2,1,2,2,2,1,M,M,1,1,M,M,M,M,M,M,4,3,2,4,4,2,2,1,3,1,1,2,2,2,4,3,2,2,2,2,1,2,2,2,2,1,2,2,2,3,3,4,4,1,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,3,4,3,M,3,3,3,3,4,4,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,4,5,5,2.78,2.50,3.29,1.50,3.14,1,3
Slovakia,43,1,ISCED2,1,43201623,43201623,8.9103,10.0725,242.2448,1,3,24,21,48,0,0,23,37,0,0,3,1,12,4,8,0,0,2,2,1,1,1,0,0,0,4,0,0,0,0,4,0,0,0,6,0,0,0,0,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,19,0,0,0,0,0,1,1,2,16,0,0,0,0,0,0,0,0,2,4,1,1,2,1,1,1,2,1,2,2,N,N,N,N,2,2,2,1,2,1,1,1,1,2,1,1,1,1,3,4,2,2,3,3,2,2,2,4,3,3,3,3,1,4,4,4,4,4,2,2,1,1,1,1,2,1,1,2,2,1,1,2,2,1,2,3,3,2,3,4,3,3,3,4,3,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,4,4,5,3,1.44,2.17,2.29,1.00,3.00,1,1
Slovakia,43,1,ISCED2,1,43201624,43201624,7.3740,8.3358,242.244,1,2,7,43,96,0,0,43,88,0,0,3,1,24,8,16,0,0,2,2,1,1,1,0,10,0,3,0,0,0,0,2,0,17,0,4,0,0,1,0,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,2,26,0,0,0,1,0,0,0,0,2,1,2,2,2,1,1,1,1,2,N,1,1,1,M,M,2,4,2,1,2,4,1,1,1,2,1,1,1,1,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,2,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,5,4,2.00,2.67,3.00,3.00,3.00,1,4
Slovakia,43,1,ISCED2,2,43202001,43202001,5.8962,5.8962,241.45,1,3,25,195,133,0,0,189,139,0,0,1,1,38,18,17,0,0,2,2,1,1,1,0,0,0,0,0,1,0,0,2,0,20,0,17,0,1,1,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,20,0,1,0,1,0,0,0,0,3,2,2,1,2,2,1,1,1,2,N,2,N,N,N,N,2,3,2,1,2,3,1,2,1,2,1,1,1,1,2,2,2,1,2,2,3,2,2,2,2,3,2,3,3,3,4,4,4,4,1,1,1,2,1,1,2,2,1,2,1,1,1,M,1,1,2,3,4,3,3,4,4,4,3,4,4,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,M,M,4,1.89,3.17,2.71,1.00,3.50,1,3
Slovakia,43,1,ISCED2,2,43202002,43202002,7.4178,7.4178,230.9516,1,3,22,50,63,0,0,60,55,0,0,1,1,14,5,9,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,30,14,2,0,2,2,1,3,4,25,18,0,0,1,1,0,0,0,5,2,2,1,2,2,1,1,2,1,1,1,1,1,2,1,2,2,2,1,4,2,2,2,2,1,2,N,N,N,2,3,2,2,2,2,3,3,2,1,2,2,1,2,1,2,2,3,3,2,1,1,2,2,1,1,2,2,1,2,1,1,1,2,2,1,2,3,3,3,3,3,2,3,2,4,3,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,4,M,5,4,2.00,2.83,3.00,2.50,2.75,1,4
Slovakia,43,1,ISCED2,2,43202010,43202010,6.2149,6.2149,241.45,1,3,20,121,108,0,0,118,116,0,0,1,1,42,12,14,0,0,2,2,1,1,4,0,27,0,12,0,2,2,1,6,0,27,0,4,0,3,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,16,0,5,4,1,12,4,38,14,0,0,0,1,0,3,0,2,4,1,M,M,1,1,1,2,2,N,2,N,N,N,N,2,2,1,1,1,2,1,1,1,1,1,2,1,2,2,3,2,2,2,2,2,1,1,1,3,2,3,3,3,2,3,3,4,4,1,2,2,2,1,1,2,2,1,2,2,1,1,2,1,1,2,3,3,3,2,2,2,2,2,3,4,1,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,M,4,1.22,2.83,3.14,1.50,2.38,1,4
Slovakia,43,1,ISCED2,2,43202012,43202012,5.3477,5.3477,241.4496,1,2,21,78,101,0,0,118,124,0,0,1,1,21,7,14,0,0,2,2,1,1,4,0,31,0,15,0,2,1,2,8,0,31,0,19,0,2,1,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,19,0,2,1,2,8,4,29,0,0,2,0,0,0,1,0,6,3,1,2,2,1,1,2,2,1,1,2,N,N,N,N,2,2,2,1,2,2,2,2,4,4,1,1,1,1,2,4,4,1,1,2,3,2,2,3,4,4,2,3,2,2,4,3,4,4,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,1,2,2,2,1,3,3,5,4,2.33,2.67,2.14,1.25,3.00,1,3
Slovakia,43,1,ISCED2,2,43202022,43202022,2.8043,2.8043,241.4502,1,3,18,72,353,383,0,100,153,265,0,1,1,86,10,34,59,0,2,2,2,1,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,131,0,57,0,0,2,4,36,4,91,8,4,0,0,2,0,0,0,6,3,1,M,M,M,1,1,1,1,1,2,N,N,N,N,2,2,2,2,2,2,2,2,1,1,1,2,1,1,4,4,4,4,4,4,2,2,1,1,M,2,1,2,2,2,4,3,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,2,3,4,3,3,3,2,2,2,3,4,1,1,2,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,3,4,5,5,1.78,1.00,3.32,2.25,2.75,1,2
Slovakia,43,1,ISCED2,2,43202023,43202023,2.5837,2.5837,241.4493,1,3,17,225,252,0,0,240,252,0,0,1,2,54,21,33,0,0,2,2,1,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,41,0,15,0,5,9,1,13,4,41,0,1,0,1,7,0,0,1,3,1,1,1,M,M,1,2,2,1,1,2,N,N,N,N,2,4,3,2,4,3,2,2,2,2,1,2,1,2,4,4,4,4,3,4,3,4,4,4,3,2,2,3,3,4,4,4,4,4,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,4,3,3,3,3,3,3,3,4,4,1,1,1,2,1,1,2,1,2,2,2,1,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,4,5,5,2.67,1.17,1.86,1.00,3.13,1,3
