COUNTRY,CNT,EU,LEVEL,EXPLICIT,SCHOOLID,PRINCID,BSCWT,FSCWT,FSTWT,N_Principal_Part,N_Teachers_Part,N_Students_Part,SC01Q01A,SC01Q02A,SC01Q03A,SC01Q04A,SC01Q01B,SC01Q02B,SC01Q03B,SC01Q04B,SC02Q01,SC03Q01,SC04Q01,SC05Q01A,SC05Q02A,SC05Q03A,SC05Q04A,SC05Q01B,SC05Q02B,SC05Q03B,SC05Q04B,SC06Q01,SC07Q01A,SC07Q02A,SC07Q03A,SC07Q04A,SC07Q05A,SC07Q06A,SC07Q07A,SC07Q08A,SC07Q09A,SC07Q01B,SC07Q02B,SC07Q03B,SC07Q04B,SC07Q05B,SC07Q06B,SC07Q07B,SC07Q08B,SC07Q09B,SC07Q01C,SC07Q02C,SC07Q03C,SC07Q04C,SC07Q05C,SC07Q06C,SC07Q07C,SC07Q08C,SC07Q09C,SC07Q01D,SC07Q02D,SC07Q03D,SC07Q04D,SC07Q05D,SC07Q06D,SC07Q07D,SC07Q08D,SC07Q09D,SC07Q01E,SC07Q02E,SC07Q03E,SC07Q04E,SC07Q05E,SC07Q06E,SC07Q07E,SC07Q08E,SC07Q09E,SC08Q01,SC09Q01,SC09Q02,SC09Q03,SC09Q04,SC10Q01,SC10Q02,SC10Q03,SC10Q04,SC10Q05,SC11Q01,SC12Q01,SC13Q01,SC13Q02,SC13Q03,SC13Q04,SC14Q01,SC14Q02,SC14Q03,SC14Q04,SC14Q05,SC14Q06,SC14Q07,SC14Q08,SC14Q09,SC14Q10,SC14Q11,SC15Q01,SC15Q02,SC15Q03,SC15Q04,SC15Q05,SC15Q06,SC15Q07,SC15Q08,SC15Q09,SC16Q01,SC16Q02,SC16Q03,SC16Q04,SC17Q01,SC17Q02,SC17Q03,SC17Q04,SC17Q05,SC17Q06,SC17Q07,SC17Q08,SC17Q09,SC17Q10,SC17Q11,SC17Q12,SC17Q13,SC17Q14,SC17Q15,SC17Q16,SC17Q17,SC17Q18,SC17Q19,SC17Q20,SC18Q01,SC18Q02,SC18Q03,SC18Q04,SC18Q05,SC18Q06,SC18Q07,SC18Q08,SC19Q01,SC19Q02,SC19Q03,SC19Q04,SC19Q05,SC19Q06,SC20Q01,SC20Q02,SC20Q03,SC21Q01,SC21Q02,SC21Q03,SC21Q04,SC21Q05,SC21Q06,SC21Q07,SC21Q08,SC21Q09,SC21Q10,SC22Q01,SC22Q02,SC22Q03,SC22Q04,SC22Q05,SC22Q06,SC23Q01A,SC23Q01B,SC23Q01C,SC23Q01D,SC23Q01E,SC23Q02A,SC23Q02B,SC23Q02C,SC23Q02D,SC23Q02E,SC23Q03A,SC23Q03B,SC23Q03C,SC23Q03D,SC23Q03E,SC23Q04A,SC23Q04B,SC23Q04C,SC23Q04D,SC23Q04E,SC23Q05A,SC23Q05B,SC23Q05C,SC23Q05D,SC23Q05E,SC24Q01,SC25Q01,SC25Q02,SC25Q03,SC26Q01,SC15_Profdev,SC17_equip,SC17_PED,SC17_Goal,SC21_attitude,DIGEQUIPSC_Cluster,DIGSUPSC_Cluster
Czech_Rep,18,1,ISCED3A,8,18308003,18308003,1.8182,2.0000,190.846,1,3,25,0,0,113,0,0,0,221,0,1,1,23,0,0,23,0,1,1,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,75,0,6,0,1,1,2,6,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,40,12,1,3,0,1,0,0,0,2,1,1,2,2,2,1,1,2,1,1,1,1,1,1,1,2,1,3,3,4,2,2,2,3,2,2,N,N,N,2,4,3,2,2,1,3,4,4,4,4,4,3,4,4,4,4,4,4,4,2,1,1,2,1,1,1,1,1,2,2,1,1,2,1,1,1,3,3,3,2,2,2,2,3,3,3,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,4,4,3,5,2.44,2.67,1.29,1.00,2.50,2,3
Czech_Rep,18,1,ISCED3A,8,18308005,18308005,1.8182,2.0000,61.0702,1,1,23,0,0,174,0,0,0,284,0,1,1,39,0,0,39,0,1,1,2,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,50,0,6,0,0,5,3,13,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,3,32,18,0,0,0,5,0,0,0,2,4,1,1,M,M,1,1,2,1,1,1,1,1,M,1,2,1,2,M,1,M,2,2,2,2,1,1,M,M,3,3,2,3,2,2,2,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,1,1,1,2,2,1,1,2,2,1,1,2,2,1,1,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,5,5,3,5,1.79,2.50,2.29,2.00,4.00,1,4
Czech_Rep,18,1,ISCED3A,8,18308006,18308006,1.8182,2.0000,129.7757,1,3,23,M,M,141,M,M,M,204,M,1,1,14,M,M,14,M,1,1,2,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,50,0,5,5,3,3,2,8,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,30,5,1,3,0,3,0,0,0,4,1,1,1,2,2,1,1,M,1,2,2,N,N,N,N,M,2,2,2,3,2,1,1,1,2,1,1,1,1,2,2,4,3,3,1,2,3,4,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,3,4,4,4,4,3,4,2,3,4,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,M,4,3,1.78,2.50,2.00,2.00,3.50,1,2
Czech_Rep,18,1,ISCED3A,8,18308009,18308009,1.8182,2.0000,76.3398,1,3,30,0,110,208,0,0,138,255,0,1,1,47,0,40,47,0,1,2,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,75,0,95,0,0,10,6,8,4,40,10,2,10,1,9,0,0,0,3,4,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,3,3,2,3,3,2,2,2,2,1,2,1,1,3,3,3,3,3,4,2,3,3,2,2,3,3,3,3,3,3,3,3,4,1,1,1,1,1,2,2,1,1,2,2,1,1,2,1,1,1,3,4,4,4,4,4,3,3,4,3,1,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,3,4,5,4,2.44,1.83,2.43,1.75,3.63,1,3
Czech_Rep,18,1,ISCED3A,8,18308010,18308010,1.8182,2.0000,76.34,1,3,29,163,115,107,0,148,100,182,0,1,1,54,16,14,24,0,2,2,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,112,0,29,0,4,5,7,26,4,61,25,3,23,0,5,0,0,0,3,4,1,2,2,2,1,1,1,1,1,2,N,N,N,N,2,2,3,2,3,2,2,1,2,2,1,1,1,1,4,4,4,4,3,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,1,2,2,1,1,1,1,1,1,2,1,1,1,M,2,1,2,3,3,3,3,4,3,3,3,4,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,5,M,M,4,2.11,1.17,1.00,1.00,3.13,1,3
Czech_Rep,18,1,ISCED3A,8,18308013,18308013,1.8182,2.0000,66.1606,1,3,24,M,M,156,M,M,M,241,M,1,1,32,M,M,32,M,1,1,2,1,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,50,0,0,0,0,3,1,6,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,40,10,1,0,0,3,0,0,0,1,M,1,M,M,M,1,1,2,1,2,2,N,N,N,N,2,3,3,2,4,3,3,2,2,4,1,1,1,1,1,1,2,2,1,2,2,2,2,3,3,2,3,2,2,2,3,2,2,2,1,1,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1,3,3,3,3,3,3,2,3,3,3,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,4,M,3,4,2.89,3.50,2.57,2.75,2.88,2,4
Czech_Rep,18,1,ISCED3A,8,18308015,18308015,1.8182,2.0000,43.2589,1,1,14,M,M,135,M,M,M,172,M,1,1,24,M,M,24,M,M,M,2,M,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,124,0,11,0,0,1,3,11,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,4,38,56,0,0,0,1,0,0,0,2,4,1,1,M,M,1,1,2,1,2,2,N,N,N,N,2,1,M,M,4,M,M,2,M,4,1,1,1,1,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2,2,2,2,1,1,M,1,1,3,4,3,3,3,3,3,2,4,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,M,M,M,M,C,C,C,C,3.00,1,C
Czech_Rep,18,1,ISCED3A,8,18308304,18308304,1.8182,2.0000,71.2502,1,3,18,80,150,230,0,100,250,350,0,1,1,50,0,15,35,0,M,2,2,M,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,70,10,0,0,1,2,2,6,3,45,5,1,0,0,2,0,0,0,3,4,1,1,M,M,1,1,1,1,1,1,1,1,1,1,2,2,2,M,M,M,M,2,M,M,1,1,1,1,2,2,3,2,2,3,2,3,3,2,2,3,2,2,2,2,4,4,4,4,2,2,2,2,1,2,1,1,2,2,2,1,1,2,2,1,1,4,4,4,4,4,3,3,3,4,3,1,1,2,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,M,4,3,C,2.67,2.57,1.00,3.63,1,3
Czech_Rep,18,1,ISCED3A,8,18308316,18308316,1.8182,2.0000,302.8128,1,3,31,0,116,611,0,0,56,399,0,1,1,50,0,8,50,0,1,2,2,1,3,0,0,0,0,0,0,0,0,0,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2,18,4,0,0,0,1,4,16,4,42,16,1,10,0,1,0,0,0,3,1,1,2,2,2,1,1,2,1,2,1,2,2,M,1,2,1,2,1,2,1,1,1,1,2,1,1,1,2,1,4,2,2,2,1,2,2,2,3,4,3,3,2,1,2,3,2,2,3,2,2,2,1,2,2,2,1,1,2,2,2,1,2,2,2,1,3,4,3,3,4,2,3,3,4,3,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,1,5,4,1.33,3.00,2.29,2.50,3.13,2,2
Czech_Rep,18,1,ISCED3A,9,18309002,18309002,2.1000,3.0000,90.5216,1,3,25,0,0,141,0,0,0,184,0,2,1,25,0,0,25,0,1,1,2,1,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,0,57,0,2,0,0,4,1,10,N,N,N,N,N,N,N,N,N,M,M,M,M,M,M,M,M,M,3,35,8,1,0,0,4,0,0,0,5,4,1,1,2,2,1,2,2,1,2,2,N,N,N,N,2,1,2,2,4,4,1,2,1,2,1,1,1,1,2,3,4,3,2,1,2,2,3,2,2,3,2,2,3,2,4,3,3,3,1,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,3,3,3,3,3,2,2,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,2,1,1,2,2,2,1,1,2,2,2,2,5,5,3,4,2.11,2.50,2.71,1.75,2.63,2,4
